rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs11209026-?,3e-10,-,NR,-,,-,IL23R,Ulcerative colitis,ulcerative colitis,-,GCST000527,1:67240275,19915572,Barrett JC,1,67240275.0
rs16940202-?,3e-10,-,NR,-,,-,"LINC01082,LINC02132",Ulcerative colitis,ulcerative colitis,-,GCST004133,16:85980635,28067908,de Lange KM,16,85980635.0
rs4821382-?,3e-10,-,NR,-,0.0837,[0.058-0.11],"RNU7-167P,LINC01399",Ulcerative colitis,ulcerative colitis,-,GCST90446794,22:35242122,37156999,Liu Z,22,35242122.0
rs7915475-?,3e-10,(subset analysis),NR,-,,-,LINC02929,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:62621908,26974007,Ellinghaus D,10,62621908.0
rs7240004-A,3e-10,(EA),0.62,1.0858526,,-,"CTIF,SMAD7",Ulcerative colitis,ulcerative colitis,-,GCST003045,18:48868651,26192919,Liu JZ,18,48868651.0
rs254562-?,3e-10,(EA),NR,-,,-,PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST003045,5:135105767,26192919,Liu JZ,5,135105767.0
rs4971079-?,3e-10,(subset analysis),NR,-,,-,"KRTCAP2,HMGN2P18","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:155157915,26974007,Ellinghaus D,1,155157915.0
rs483905-A,3e-10,(EA),0.289,1.0887091,,[1.06-1.12],MAML2,Ulcerative colitis,ulcerative colitis,-,GCST003045,11:96290263,26192919,Liu JZ,11,96290263.0
rs6667605-G,3e-10,(EA),0.51,1.0831845,,-,"TNFRSF14,PRXL2B",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:2571341,26192919,Liu JZ,1,2571341.0
rs13107612-?,3e-10,(subset analysis),NR,-,,-,BANK1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,4:101818823,26974007,Ellinghaus D,4,101818823.0
rs34804116-?,3e-10,(subset analysis),NR,-,,-,"LINC02230,TMEM174","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:73244023,26974007,Ellinghaus D,5,73244023.0
rs11150589-A,3e-10,(EA),0.4732,1.0831269,,[1.06-1.11],Y_RNA,Ulcerative colitis,ulcerative colitis,-,GCST003045,16:30471173,26192919,Liu JZ,16,30471173.0
rs2413583-?,3e-10,-,NR,-,,-,"PDGFB,RPL3",Ulcerative colitis,ulcerative colitis,-,GCST004133,22:39263768,28067908,de Lange KM,22,39263768.0
rs2145623-?,3e-10,(subset analysis),NR,-,,-,"PSMA6,RPLP0P3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,14:35370030,26974007,Ellinghaus D,14,35370030.0
rs11649613-?,3e-10,(subset analysis),NR,-,,-,"HNRNPCP4,CLEC16A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:11225500,26974007,Ellinghaus D,16,11225500.0
rs34372308-?,4e-10,-,NR,0.85547364,,-,"GRB7,MIEN1",Ulcerative colitis,ulcerative colitis,-,GCST90446795,17:39732989,37156999,Liu Z,17,39732989.0
rs501916-?,4e-10,(Children),NR,1.8129687,,[1.51-2.18],SEMA6D,Ulcerative colitis,ulcerative colitis,-,GCST003960,15:47761032,28008999,Ostrowski J,15,47761032.0
rs3184504-?,4e-10,(subset analysis),NR,-,,-,"ATXN2,SH2B3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,12:111446804,26974007,Ellinghaus D,12,111446804.0
rs2836884-?,4e-10,-,NR,0.82712454,,-,"RPL23AP12,LINC02940",Ulcerative colitis,ulcerative colitis,-,GCST90446795,21:39095717,37156999,Liu Z,21,39095717.0
rs17780256-?,4e-10,-,NR,-,,-,SLC39A11,Ulcerative colitis,ulcerative colitis,-,GCST004133,17:72646784,28067908,de Lange KM,17,72646784.0
rs564349-?,4e-10,-,NR,-,0.0784,[0.054-0.103],ERGIC1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:172897975,37156999,Liu Z,5,172897975.0
rs11641184-A,4e-10,(EA),0.4762,1.0811478,,[1.06-1.11],LITAF,Ulcerative colitis,ulcerative colitis,-,GCST003045,16:11610795,26192919,Liu JZ,16,11610795.0
rs10051765-?,4e-10,-,NR,-,0.0766,[0.053-0.101],"SLC34A1,RGS14",Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:177372991,37156999,Liu Z,5,177372991.0
rs254560-A,4e-10,(EA),0.4024,1.0823938,,[1.06-1.11],PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST003045,5:135107916,26192919,Liu JZ,5,135107916.0
rs16940186-G,4e-10,-,0.21,1.56,,[1.36-1.80],"LINC01082,LINC02132",Ulcerative colitis,ulcerative colitis,-,GCST001938,16:85976134,23511034,Yang SK,16,85976134.0
rs12764283-?,4e-10,-,NR,-,0.0772,[0.053-0.101],CCNY-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:35241532,37156999,Liu Z,10,35241532.0
rs35667974-?,5e-10,(subset analysis),NR,-,,-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:162268127,26974007,Ellinghaus D,2,162268127.0
rs7657746-A,5e-10,(EA),0.76,1.0973365,,-,BLTP1,Ulcerative colitis,ulcerative colitis,-,GCST003045,4:122240464,26192919,Liu JZ,4,122240464.0
rs10748781-A,5e-10,-,NR,-,0.1237,[0.085-0.163],LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST90018933,10:99523573,34594039,Sakaue S,10,99523573.0
rs1847472-?,5e-10,(subset analysis),NR,-,,-,BACH2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:90263440,26974007,Ellinghaus D,6,90263440.0
rs1336900-?,5e-10,-,NR,-,0.0755,[0.052-0.099],HORMAD1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:150706557,37156999,Liu Z,1,150706557.0
rs12720356-?,5e-10,-,NR,-,0.1405,[0.096-0.185],TYK2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,19:10359299,37156999,Liu Z,19,10359299.0
rs28701841-?,6e-10,(subset analysis),NR,-,,-,"ATG5,PRDM1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:106082455,26974007,Ellinghaus D,6,106082455.0
rs1405108-C,6e-10,(EA),0.3358,1.0854406,,[1.06-1.11],"PLCL1,RNU7-147P",Ulcerative colitis,ulcerative colitis,-,GCST003045,2:198880294,26192919,Liu JZ,2,198880294.0
rs11150589-T,6e-10,-,0.463,1.09,,[1.052-1.128],Y_RNA,Ulcerative colitis,ulcerative colitis,-,GCST001728,16:30471173,23128233,Jostins L,16,30471173.0
rs1569414-?,6e-10,(subset analysis),NR,-,,-,FAM118A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,22:45331684,26974007,Ellinghaus D,22,45331684.0
rs4676406-?,6e-10,(subset analysis),NR,-,,-,"GPR35,AQP12B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:240639691,26974007,Ellinghaus D,2,240639691.0
rs3851228-?,6e-10,-,NR,-,,-,TRAF3IP2-AS1,Ulcerative colitis,ulcerative colitis,-,GCST004133,6:111526988,28067908,de Lange KM,6,111526988.0
rs3769684-?,6e-10,-,NR,-,0.1134,[0.078-0.149],CD28,Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:203720036,37156999,Liu Z,2,203720036.0
rs4710973-?,6e-10,-,NR,-,0.0761,[0.052-0.1],"LINC00581,CDKAL1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,6:21385471,37156999,Liu Z,6,21385471.0
rs8006884-?,7e-10,(subset analysis),NR,-,,-,"PPP2R3C,FAM177A1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,14:35094005,26974007,Ellinghaus D,14,35094005.0
rs12261843-G,7e-10,-,0.29,1.07,,[1.03-1.12],"CCNY,CCNY-AS1",Ulcerative colitis,ulcerative colitis,-,GCST000964,10:35265126,21297633,Anderson CA,10,35265126.0
rs17630801-?,7e-10,-,NR,-,0.1564,[0.11-0.21],ELF1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,13:40965681,37156999,Liu Z,13,40965681.0
rs35320439-?,7e-10,(subset analysis),NR,-,,-,GAL3ST2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:241797926,26974007,Ellinghaus D,2,241797926.0
rs10882847-?,8e-10,-,NR,1.2119129,,-,LCOR,Ulcerative colitis,ulcerative colitis,-,GCST90446795,10:96837270,37156999,Liu Z,10,96837270.0
rs9842650-?,8e-10,-,NR,1.29,,-,CD200,Crohn's disease vs ulcerative colitis,"ulcerative colitis,Crohn's disease",-,GCST90179177,3:112350545,36164742,Jung S,3,112350545.0
rs885026-?,8e-10,-,NR,0.78,,-,NCOR2,Crohn's disease vs ulcerative colitis,"ulcerative colitis,Crohn's disease",-,GCST90179177,12:124548243,36164742,Jung S,12,124548243.0
rs2858829-?,8e-10,-,NR,1.12,,[1.08-1.16],"CBX3P9,DSE",Ulcerative colitis,ulcerative colitis,-,GCST002548,6:116447754,25082827,Julià A,6,116447754.0
rs196941-?,8e-10,(subset analysis),NR,-,,-,ERN1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:64069832,26974007,Ellinghaus D,17,64069832.0
rs549182-A,8e-10,-,0.11,1.59,,[1.37-1.85],"TSBP1-AS1,NOTCH4",Ulcerative colitis,ulcerative colitis,-,GCST002453,6:32237268,24837172,Juyal G,6,32237268.0
rs2666218-?,9e-10,(subset analysis),NR,-,,-,ASAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:9262859,26974007,Ellinghaus D,2,9262859.0
rs9554587-?,9e-10,(subset analysis),NR,-,,-,"CCR12P,UBAC2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,13:99388400,26974007,Ellinghaus D,13,99388400.0
rs990107-G,9e-10,-,NR,-,0.1203,[0.082-0.159],"DLD,PIGCP2",Ulcerative colitis,ulcerative colitis,-,GCST90018933,7:107836468,34594039,Sakaue S,7,107836468.0
rs113010081-G,9e-10,(EA),0.1073,1.1354866,,[1.09-1.18],"CCRL2,LINC02009",Ulcerative colitis,ulcerative colitis,-,GCST003045,3:46415921,26192919,Liu JZ,3,46415921.0
rs74365910-A,9e-10,-,0.009189,-,0.97,[0.66-1.28],"TAP2,PSMB8",Ulcerative colitis (PheCode 555.2),ulcerative colitis,-,GCST90044155,6:32838776,34737426,Jiang L,6,32838776.0
rs1990134-?,1e-09,-,NR,-,0.0773,[0.052-0.102],"GLI3,INHBA-AS1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:41935319,37156999,Liu Z,7,41935319.0
rs7918084-?,1e-09,-,NR,-,0.0749,[0.051-0.099],EIF2S2P3,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:92669710,37156999,Liu Z,10,92669710.0
rs4561177-?,1e-09,(subset analysis),NR,-,,-,RDX,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:110091706,26974007,Ellinghaus D,11,110091706.0
rs2523971-A,1e-09,-,NR,0.874,,[0.836-0.913],POLR1HASP,Ulcerative colitis,ulcerative colitis,-,GCST90301322,6:29970481,37262302,Khrom M,6,29970481.0
rs871656-?,1e-09,(subset analysis),NR,-,,-,IL1R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:102154822,26974007,Ellinghaus D,2,102154822.0
rs254560-A,1e-09,-,0.4,1.07,,[1.03-1.12],PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST000964,5:135107916,21297633,Anderson CA,5,135107916.0
rs12103-A,1e-09,(EA),0.1834,1.1046834,,[1.07-1.14],INTS11,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:1312114,26192919,Liu JZ,1,1312114.0
rs4957048-C,1e-09,-,NR,1.11,,[NR],CEP72-DT,Ulcerative colitis,ulcerative colitis,-,GCST000624,5:583327,20228799,McGovern DP,5,583327.0
rs2278300-G,1e-09,-,NR,-,0.1252,[0.085-0.165],PUS10,Ulcerative colitis,ulcerative colitis,-,GCST90018933,2:60948938,34594039,Sakaue S,2,60948938.0
rs1521186-A,1e-09,-,NR,-,0.1186,[0.08-0.157],RORC,Ulcerative colitis,ulcerative colitis,-,GCST90018933,1:151812071,34594039,Sakaue S,1,151812071.0
rs61802846-?,1e-09,(subset analysis),NR,-,,-,"RNU6-481P,FCGR2A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:161504083,26974007,Ellinghaus D,1,161504083.0
rs2816958-A,1e-09,-,NR,0.78,,-,NR5A2,Ulcerative colitis,ulcerative colitis,-,GCST90454275,1:200132792,37002690,Zeng Y,1,200132792.0
rs6863411-?,2e-09,(subset analysis),NR,-,,-,NDFIP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:142133639,26974007,Ellinghaus D,5,142133639.0
rs16841904-?,2e-09,(subset analysis),NR,-,,-,DENND1B,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:197732862,26974007,Ellinghaus D,1,197732862.0
rs12720356-?,2e-09,(subset analysis),NR,-,,-,TYK2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:10359299,26974007,Ellinghaus D,19,10359299.0
rs1517352-C,2e-09,(EA),0.6,1.0808891,,-,STAT4,Ulcerative colitis,ulcerative colitis,-,GCST003045,2:191066738,26192919,Liu JZ,2,191066738.0
rs12718244-?,2e-09,(subset analysis),NR,-,,-,SPMIP7,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:50136058,26974007,Ellinghaus D,7,50136058.0
rs147909357-?,2e-09,-,NR,-,0.0697,[0.047-0.093],"IL2,IL21",Ulcerative colitis,ulcerative colitis,-,GCST90446794,4:122523885,37156999,Liu Z,4,122523885.0
rs11672983-?,2e-09,-,NR,-,0.0722,[0.049-0.096],"RNU6-222P,FCAR",Ulcerative colitis,ulcerative colitis,-,GCST90446794,19:54871595,37156999,Liu Z,19,54871595.0
rs6017342-A,2e-09,-,NR,0.87,,-,LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST90454275,20:44436388,37002690,Zeng Y,20,44436388.0
rs7210086-A,2e-09,-,0.797,1.111,,[1.062-1.163],"LINC00511,SLC39A11",Ulcerative colitis,ulcerative colitis,-,GCST001728,17:72645559,23128233,Jostins L,17,72645559.0
rs1126510-G,2e-09,-,0.363,1.075,,[1.037-1.113],PTGIR,Ulcerative colitis,ulcerative colitis,-,GCST001728,19:46620526,23128233,Jostins L,19,46620526.0
rs1830610-T,2e-09,-,0.19,1.35,,-,"RLN2,INSL4",Ulcerative colitis,ulcerative colitis,-,GCST008483,9:5260079,26398853,Ye BD,9,5260079.0
rs7468800-?,2e-09,(subset analysis),NR,-,,-,"TNFSF15,DELEC1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:114829725,26974007,Ellinghaus D,9,114829725.0
rs113307843-AC,2e-09,-,NR,-,0.1381,[0.093-0.184],-,Ulcerative colitis,ulcerative colitis,-,GCST90018933,-,34594039,Sakaue S,-,
rs2790211-?,2e-09,-,NR,-,0.0829,[0.056-0.11],IPMK,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:58243611,37156999,Liu Z,10,58243611.0
rs1003342-?,2e-09,-,NR,-,0.0698,[0.047-0.093],HORMAD2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,22:30174033,37156999,Liu Z,22,30174033.0
rs3747517-?,2e-09,(subset analysis),NR,-,,-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:162272314,26974007,Ellinghaus D,2,162272314.0
rs200349593-?,2e-09,-,NR,-,,-,NXPE1,Ulcerative colitis,ulcerative colitis,-,GCST004133,11:114526441,28067908,de Lange KM,11,114526441.0
rs1569328-?,2e-09,(subset analysis),NR,-,,-,"FOS,U2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,14:75275048,26974007,Ellinghaus D,14,75275048.0
rs2050392-?,2e-09,(subset analysis),NR,-,,-,"NIFKP1,CCND3P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:30402574,26974007,Ellinghaus D,10,30402574.0
rs9494840-?,3e-09,(subset analysis),NR,-,,-,"BTF3L4P3,LINC03004","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:137641937,26974007,Ellinghaus D,6,137641937.0
rs4902367-?,3e-09,-,NR,-,0.0764,[0.051-0.102],"LINC02324,RNU2-14P",Ulcerative colitis,ulcerative colitis,-,GCST90446794,14:65142694,37156999,Liu Z,14,65142694.0
rs16940202-C,3e-09,-,0.22,1.52,,[1.32-1.74],"LINC01082,LINC02132",Ulcerative colitis,ulcerative colitis,-,GCST001938,16:85980635,23511034,Yang SK,16,85980635.0
rs7404095-?,3e-09,(subset analysis),NR,-,,-,PRKCB,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:23853269,26974007,Ellinghaus D,16,23853269.0
rs2476601-?,3e-09,-,NR,-,0.036,NR,"PTPN22,AP4B1-AS1",Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,1:113834946,33686288,Peyrot WJ,1,113834946.0
rs4976646-G,3e-09,(EA),0.3415,1.0819606,,[1.06-1.11],RGS14,Ulcerative colitis,ulcerative colitis,-,GCST003045,5:177361569,26192919,Liu JZ,5,177361569.0
rs6451493-T,3e-09,-,0.61,1.08,,[1.04-1.12],"TTC33,RNU1-150P",Ulcerative colitis,ulcerative colitis,-,GCST000964,5:40410833,21297633,Anderson CA,5,40410833.0
rs4656958-G,3e-09,(EA),0.68,1.0859073,,-,"ITLN2,ITLN1",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:160887174,26192919,Liu JZ,1,160887174.0
rs8005161-A,3e-09,(EA),0.08653,1.1371082,,[1.09-1.18],GPR65,Ulcerative colitis,ulcerative colitis,-,GCST003045,14:88006251,26192919,Liu JZ,14,88006251.0
rs10800309-A,3e-09,-,NR,1.23,,[NR],"FCGR2A,RNU6-481P",Ulcerative colitis,ulcerative colitis,-,GCST000624,1:161502368,20228799,McGovern DP,1,161502368.0
rs254560-A,3e-09,-,0.397,1.056,,[1.019-1.093],PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST001728,5:135107916,23128233,Jostins L,5,135107916.0
rs734999-C,3e-09,-,0.52,1.05,,[1.01-1.09],"TNFRSF14,PRXL2B",Ulcerative colitis,ulcerative colitis,-,GCST000964,1:2581777,21297633,Anderson CA,1,2581777.0
rs6499186-?,3e-09,-,NR,-,0.0884,[0.059-0.118],"CDH3,ZFP90",Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:68626662,37156999,Liu Z,16,68626662.0
rs3197999-T,4e-09,-,NR,1.21,,[NR],MST1,Ulcerative colitis,ulcerative colitis,-,GCST000624,3:49684099,20228799,McGovern DP,3,49684099.0
rs9726836-?,4e-09,-,NR,-,0.0932,[0.062-0.124],CCNL2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:1388944,37156999,Liu Z,1,1388944.0
rs72977586-?,4e-09,(subset analysis),NR,-,,-,STK11,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:1186317,26974007,Ellinghaus D,19,1186317.0
rs1800682-?,4e-09,(subset analysis),NR,-,,-,"ACTA2,FAS","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:88990206,26974007,Ellinghaus D,10,88990206.0
rs1328454-?,4e-09,(subset analysis),NR,-,,-,SLC9A8,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:49823486,26974007,Ellinghaus D,20,49823486.0
rs6058869-?,4e-09,(subset analysis),NR,-,,-,"COMMD7,DNMT3B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:32760944,26974007,Ellinghaus D,20,32760944.0
rs3766606-?,4e-09,-,NR,-,,-,PARK7,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:7962137,28067908,de Lange KM,1,7962137.0
rs4743820-A,4e-09,(EA),0.7,1.0842872,,-,"LINC00484,LINC02937",Ulcerative colitis,ulcerative colitis,-,GCST003045,9:91166134,26192919,Liu JZ,9,91166134.0
rs72834724-G,4e-09,-,NR,1.345,,[1.219-1.484],"LINC02929,ALDH7A1P4",Ulcerative colitis,ulcerative colitis,-,GCST90301321,10:62681720,37262302,Khrom M,10,62681720.0
rs12598357-G,4e-09,-,0.39,-,,-,"SBK1,NPIPB6",Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,16:28329624,26301688,Li YR,16,28329624.0
rs5757584-?,4e-09,(subset analysis),NR,-,,-,"PDGFB,RPL3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,22:39266545,26974007,Ellinghaus D,22,39266545.0
rs11591780-?,5e-09,-,NR,-,0.0685,[0.046-0.091],"MFSD13A,ACTR1A",Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:102465559,37156999,Liu Z,10,102465559.0
rs6976037-?,5e-09,-,NR,-,0.0693,[0.046-0.093],"EPS15P1,MRPL42P4",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:46834111,37156999,Liu Z,7,46834111.0
